title,director,cast,country,release_year,rating,listed_in,description,runtime
The Hiding Place,James F. Collier,"Julie Harris, Jeannette Clift, Eileen Heckart, Arthur O'Connell",United States,1975,13+,Drama,"In wartime Holland, the Ten Boom family joins the underground resistance to help save persecuted Jewish families and quietly shelters Jews in their small house - until Nazis discover the ""hiding place."" When they are arrested and imprisoned in concentration camps, they're left with nothing to cling to but their faith. This is the remarkable true story of Corrie and her sister Betsie's endurance.",146
The Busy Little Engine,Desmond Mullen,"Desmond Mullen, Pig, Busy Little Engine, Lorrie Guess",United States,2007,ALL,"Animation, Kids","A wooden toy train pretends to be real, but doesn't know much about what real trains do - he's only seen them at crossing gates. With the Narrator and some imagination, Busy Little Engine and Pig have fun learning about what trains do all day! Winner of the Telly Award for Excellence in Children's Programming. A Parenting Magazine ""Parenting Pick"". ""Highly Recommended"" by Video Librarian magazine.",34
Srinivasa Kalyanam,Satish Vegesna,"Nithin, Raashi Khanna, Nandita Swetha",India,2018,ALL,"Drama, International","Vasu, an architect from a close-knit joint family and Sri, daughter of a billionaire businessman fall in love with each other. Both families agree to their marriage but Sri’s father who believes time is more important than relations and rituals makes Vasu sign a premarital agreement in return of his promise to be present wherever the father of the bride is needed in all the wedding activities.",139
Shubh Mangal Zyada Saavdhan,Hitesh Kewalya,"Ayushmann Khurrana, Jitendra Kumar, Gajraj Rao, Neena Gupta, Manu Rishi Chadha, Maanvi Gagroo, Sunita Rajwar",India,2020,16+,"Comedy, International, LGBTQ","The Tripathi family is busy gearing up for an unusual wedding, when something more unusual hits them smack on their smiling, ‘Indian Shaadi’ ready faces. The newest couple of their family, cannot be a ‘couple’ in the first place! While the two love birds share ‘achaar’ and ‘elaichis’, the Tripathi family is busy plotting the end of their relationship.",118
Satyameva Jayate,Milap Zaveri,"John Abraham, Manoj Bajpayee, Aisha Sharma, Amruta Khanvilkar, Manish Chaudhary",India,2018,18+,"Action, Adventure, International","DCP Shivansh has been tasked to catch Vir, the man behind police killings in the city. Both are eventually against the same enemy but divided by a fine line, the law.",140
Resurrection of Jake The Snake,Steve Yu,"Jake the Snake Roberts, Diamond Dallas Page, Steve Yu, Steve Austin, Adam Copeland, Jim Ross, Scott Hall, Gene Okerland, Dustin Rhodes",United States,2015,16+,"Documentary, Sports",A fallen professional wrestling superstar battles his past demons in a struggle to reclaim his life and the family that has given up on him.,97
Raatchasi,Sy Gowthamraj,"Jyotika, Poornima Bhagyaraj, Satyan, Hareesh Peradi",India,2019,ALL,"Drama, International, Kids","Geetha Rani, the new headmistress of a Government School, has to confront misbehaving students, lethargic faculty and non-existent routines. As she faces these difficulties, will she be able to reform the education system and the society?",133
Putham Pudhu Kaalai,"Sudha Kongara, Gautham Vasudev Menon, Suhasini Mani Ratnam, Rajiv Menon, Karthik Subbaraj","Jayaram, Oorvasi, Kalidas Jayaram,  Kalyani Priyadarshan,  M S Baaskar,  Ritu Varma,  Shruti Haasan,  Suhasini Mani Ratnam,  Anu Hasan,  Kathadi Ramamurthy,  Komalam Charuhasan,  Andrea Jeremiah,  Gurucharan C,  Leela Samson,  Simha,  Sharath Ravi,  K Muthukumar",India,2020,16+,Drama,"Putham Pudhu Kaalai is an anthology that brings together 5 of the most celebrated directors in Tamil cinema – Sudha Kongara, Gautham Menon, Suhasini Mani Ratnam, Rajiv Menon, and Karthik Subbaraj, featuring stories of love, new beginnings, second chances, and a glimmer of hope – set and filmed in the times of the COVID-19 lockdown.",129
Primal Rage,Patrick Magee,"Andrew Joseph Montgomery, Casey Gagliardi, Eloy Casados, Marshal Hilton, Justin Rain",United States,2018,R,"Drama, Horror, Suspense","Lost deep in the forest of the Pacific Northwest, Ashley and Max Carr are stalked by a terrifying creature that might be Bigfoot. Soon they find themselves embroiled in a strange land of Native American myth and legend turned real. Hopelessly trying to survive, with a handful of unsavory locals, they must fight back against this monster in a desperate battle of life or death. You Will Believe!",106
Painted Horses,Damian X. Fulton,"Madelyn Deutch, Linc Hand, Deana Carter, Terri Minton, Kendall Ryan Sanders, Grace Fulton",United States,2017,13+,Drama,"Ms. Hoog is destined to be a loser like the many generations in her family that preceded her, but the legacy will end with her, because by strength of character and sheer determination she is going to forge a new path and a new destiny for her and her son. .",92
Mitron,Nitin Kakkar,"Jackky Bhagnani, Kritika Kamra, Prateek Gandhi, Neeraj Sood",India,2018,13+,"Comedy, International","Jay, born and brought up with middle-class values, easy going approach to life. Unhappy with Jay’s lifestyle his father decides to get him married, in the hope of bringing stability to this life. He accidently meets Avni, an ambitious girl. Avni tells him that she is not interested in getting married.",116
Mardaani 2,Gopi Puthran,"Rani Mukerji, Vishal Jethwa, Sumit Nijhawan, Shruti Bapna, Vikram Singh Chauhan, Deepika Amin, K.C.Shankar, Rajesh Sharma, Jishu Sengupta, Avneet Kaur",India,2019,13+,"Action, Drama, Suspense","A 21-year old boy named Sunny (Vishal Jethwa), comes to the city on a murder contract. But he also has a penchant for sexually assaulting and murdering young girls. When he locks horns with Shivani Shivaji Roy (Rani Mukerji), the newly appointed Chief of the city police, a thrilling cat and mouse hunt begins. Will Shivani manage to nab Sunny, or does she end up being one of his many victims?",103
It's A Wonderful Life (Black & White Version),Frank Capra,"James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell, Henry Travers, Beulah Bondi",United States,1946,13+,Drama,"After George Bailey wishes he had never been born, an angel is sent to earth to make George's wish come true. George starts to realize how many lives he has changed and impacted, and how they would be different if he was never there.",131
Evaru,Venkat Ramji,"Adivi Sesh, Regina Cassandra, Naveen Chandra",India,2019,13+,"Drama, International","When a high-ranking police official is killed by his alleged rape victim, Sub-inspector Vikram Vasudev is entrusted with investigating what seems like an open-and-shut case. As he delves deeper, Vikram finds the case spiraling into a dark tale filled with unexpected surprises.",115
Durgamati - The Myth,Ashok G.,"Bhumi Pednekar, Arshad Warsi, Jisshu Sengupta, Mahie Gill, Karan Kapadia",India,2020,16+,"Horror, Suspense","In the skullduggery world of politics and crime, an innocent Chanchal has to put all on the line to prove her innocence and bring justice to Shakti and the people that he loved so much. As she gets embroiled deep in a web of deceit, Chanchal must face powers both natural and supernatural to fulfil her destiny.",156
Driving Licence,Jean Paul Lal,"Prithviraj Sukumaran, Suraj Venjaramood, Deepti Sati, Miya George",India,2019,13+,Drama,"Super Star Hareendran is Well Known for his Driving Skills and Craze towards Motor Cars. Kuruvila Joseph, the Motor Vehicle Inspector of the Town is a Die Hard Fan of Hareendran. To complete the shoot of his latest film Hareendran needs to submit his license, which he discovers is missing. In order to get a new license urgently, Hareendran goes to Kuruvilla, his biggest fan.",133
Dead Space: Aftermath,Mike Disa,"Christopher Judge, Gwendoline Yeo, Peter Woodward, Ricardo Chavira",United States,2011,ALL,"Animation, Suspense","Based on the much anticipated EA videogame Dead Space 2, Dead Space: Aftermath is a fast paced, horrifying thrill ride set in 2059 that follows the four surviving ship crew members of the USG O'Bannon.",78
Coolie No. 1 (4K UHD),David Dhawan,"Varun Dhawan, Sara Ali Khan, Paresh Rawal, Javed Jaffery, Rajpal Yadav, Sahil Vaid, Johny Lever, Shikha Talsania, Vikas Verma, Anil Dhawan, Manoj Joshi, Bharti Achrekar",India,2020,13+,"Comedy, Drama","After being insulted by a rich businessman named Rosario, pandit Jai Kishen teaches him a lesson by getting his daughter married to Raju - a Coolie posing as a millionaire. Soon Raju’s real indentity is exposed but he cooks up a story of having a filthy rich twin. One lie leads to another and things start to go out of hand.",135
Can We Take a Joke?,Ted Balaker,"Gilbert Gottfried, Penn Jillette, Adam Carolla, Lisa Lampanelli, Jim Norton, Heather McDonald, Karith Foster, Christina Pazsitzky",United States,2016,13+,"Arthouse, Arts, Entertainment, and Culture, Comedy","Gilbert Gottfried, Penn Jillette, Lisa Lampanelli, Adam Carolla and others detail outrage culture's stifling impact on stand-up comedy and the exchange of ideas.",75
Asuran,Vetrimaaran,"Dhanush, Manju Warrier, Ken Karunas, Teejay Arunasalam, Pasupathy, Prakash Raj, Ammu Abirami, Balaji Sakthivel",India,2019,18+,"Action, Drama, International","The son of a farmer from an underprivileged caste kills a rich, upper caste landlord. Will the farmer, a loving father and a pacifist by heart, be able to save his hot-blooded son is the rest of the story.",139
Peterloo,Mike Leigh,"Rory Kinnear, Maxine Peake, Neil Bell, Philip Jackson, Vincent Franklin, Karl Johnson, Tim McInnerny",United Kingdom,2019,PG-13,Drama,"Included with your Prime membership. Internationally acclaimed and Oscar-nominated filmmaker Mike Leigh portrays one of the bloodiest episodes in British history, the infamous Peterloo Massacre of 1819, where government-backed cavalry charged into a peaceful crowd of 60,000 that gathered in Manchester, England to demand democratic reform.",154
My Dad's Christmas Date,Mick Davis,"Jeremy Piven, Olivia Mai Barrett, Hadar Cats, Megan Brown Martinez, Roger Aston-Griffiths, Nathalie Cox, Joely Richardson",United Kingdom,2020,13+,Comedy,"It's Christmas in York. Jules, 16, knows all she and her dad really need for Christmas is love. Jules attempts to set up her dad online with a girlfriend - what could go wrong? Plenty...",91
Fanney Khan,Atul Manjrekar,"Aishwarya Rai Bachchan, Anil Kapoor, Rajkummar Rao, Divya Dutta, Swati Semwal",India,2018,13+,"Arts, Entertainment, and Culture, Comedy, Drama",Fanney Khan is a struggling singer who wants to make his daughter a big name in music world.,129
Chhalaang (4K UHD),Hansal Mehta,"Rajkummar Rao, Nushrratt Bharuchaa",India,2020,13+,"Comedy, Drama","‘Chhalaang’ is a hilarious, yet inspirational journey of a PT Master from a semi government funded school in Northern India. Montu is a typical PT Master for whom it’s just a job. When circumstances put everything that Montu cares for, at stake, including Neelu who he loves, Montu is forced to do what he has never done - Teach.",136
"Out of Mind, Out of Sight",John Kastner,,Canada,2014,13+,"Documentary, Special Interest","What happens to people who suffer from mental illnesses and commit violent crimes? Where do they go? How are they treated? Little is known about the facilities-once called asylums for the criminally insane-to which some of these patients are sent. Now known as forensic psychiatric hospitals, these are institutions inside which patients disappear, away from public view for years.",88
The Wall,Doug Liman,"Aaron Taylor-Johnson, John Cena, Laith Nakli",United States,2017,R,"Drama, Military and War, Suspense","A deadly psychological thriller that follows two soldiers pinned down by an Iraqi sniper, with nothing but a crumbling wall between them.",90
Manhunt: Search for the Night Stalker,Bruce Seth Green,"Richard Jordan, A Martinez, Julie Carmen, Alan Feinstein, Lisa Eilbacher, Soon-Tek Oh",United States,1989,16+,"Documentary, Suspense","In 1985, Richard Ramirez terrorized California. Due to his nature of targeting people at night, he quickly became known as the Night Stalker. Two Los Angeles police detectives-Sergeant Frank Salerno and Lieutenant Gil Carrillo-attempt to track him down, but are faced with little concrete evidence and a series of seemingly-unrelated incidents. Based on a true story.",95
